,2022_People,2022_median_income,2022_marginerror,2023_People,2023_median_income,2023_marginerror,Delta,MOE,,,,,,,,,,,,,,,,,,,
HOUSEHOLDS,,,,,,,,,,,,,,,,,,,,,,,,,,,
All households,"131,400","77,540","1,006","132,200","80,610",634,*4.0,1.40,,,,,,,,,,,,,,,,,,,
Type of Household,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family households,"84,330","99,250",996,"84,680","102,800","1,200",*3.6,1.41,,,,,,,,,,,,,,,,,,,
Married-couple,"62,180","115,200","1,166","62,300","119,400","1,576",*3.6,1.55,,,,,,,,,,,,,,,,,,,
"Female householder, no spouse present","15,030","58,260","1,258","15,180","59,470","1,774",2.1,3.72,,,,,,,,,,,,,,,,,,,
"Male householder, no spouse present","7,128","76,550","2,824","7,208","81,890","2,059",*7.0,4.10,,,,,,,,,,,,,,,,,,,
Nonfamily households,"47,100","47,250",861,"47,530","49,600",895,*5.0,2.53,,,,,,,,,,,,,,,,,,,
Female householder,"24,360","41,790",812,"24,680","42,140",947,0.8,2.74,,,,,,,,,,,,,,,,,,,
Male householder,"22,740","53,990","1,029","22,850","57,200","1,190",*5.9,2.81,,,,,,,,,,,,,,,,,,,
Race3 and Hispanic Origin of Householder,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,"101,400","80,320",905,"101,900","84,630","1,182",*5.4,1.60,,,,,,,,,,,,,,,,,,,
"White, not Hispanic","84,490","84,280",997,"84,440","89,050","1,234",*5.7,1.63,,,,,,,,,,,,,,,,,,,
Black,"18,080","54,960","1,528","18,040","56,490","1,328",2.8,3.65,,,,,,,,,,,,,,,,,,,
Asian,"7,609","113,100","4,040","7,655","112,800","4,187",-0.2,4.69,,,,,,,,,,,,,,,,,,,
Hispanic (any race),"19,320","65,300","1,659","19,860","65,540","1,259",0.4,2.77,,,,,,,,,,,,,,,,,,,
Age of Householder,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 65 years,"94,300","89,270",985,"94,590","92,470","1,088",*3.6,1.46,,,,,,,,,,,,,,,,,,,
15 to 24 years,"6,136","54,540","3,591","5,881","54,930","2,870",0.7,7.95,,,,,,,,,,,,,,,,,,,
25 to 34 years,"20,720","83,420","1,566","20,910","85,780","1,190",*2.8,2.30,,,,,,,,,,,,,,,,,,,
35 to 44 years,"22,530","100,500","1,870","23,060","101,300","1,234",0.8,2.00,,,,,,,,,,,,,,,,,,,
45 to 54 years,"21,500","105,600","1,440","21,660","110,700","1,887",*4.9,1.95,,,,,,,,,,,,,,,,,,,
55 to 64 years,"23,410","84,470","1,899","23,080","90,640","1,773",*7.3,3.11,,,,,,,,,,,,,,,,,,,
65 years and older,"37,130","52,290","1,014","37,630","54,710","1,018",*4.6,2.39,,,,,,,,,,,,,,,,,,,
Nativity of Householder,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native-born,"110,300","78,200",821,"110,300","81,700",683,*4.5,1.22,,,,,,,,,,,,,,,,,,,
Foreign-born,"21,140","74,180","1,384","21,920","73,360","2,546",-1.1,3.32,,,,,,,,,,,,,,,,,,,
Naturalized citizen,"11,770","83,970","2,237","12,220","86,060","2,773",2.5,3.75,,,,,,,,,,,,,,,,,,,
Not a citizen,"9,375","64,490","1,826","9,700","61,440","1,109",*-4.7,3.01,,,,,,,,,,,,,,,,,,,
Region,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast,"22,630","83,550","2,008","22,590","86,250","1,816",*3.2,2.80,,,,,,,,,,,,,,,,,,,
Midwest,"28,280","75,980","2,009","28,410","81,020","1,319",*6.6,3.01,,,,,,,,,,,,,,,,,,,
South,"51,080","70,940","1,533","51,550","73,280","1,750",*3.3,2.84,,,,,,,,,,,,,,,,,,,
West,"29,440","86,190","2,068","29,670","88,290","2,212",2.4,3.01,,,,,,,,,,,,,,,,,,,
Residence4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inside metropolitan statistical areas,"113,500","80,580","1,011","114,300","83,590","1,140",*3.7,1.67,,,,,,,,,,,,,,,,,,,
Inside principal cities,"43,710","72,720","1,436","43,910","73,540","1,547",1.1,2.66,,,,,,,,,,,,,,,,,,,
Outside principal cities,"69,770","86,530","1,542","70,360","90,140","1,087",*4.2,1.94,,,,,,,,,,,,,,,,,,,
Outside metropolitan statistical areas,"17,950","58,180","1,393","17,950","62,520","1,723",*7.5,2.82,,,,,,,,,,,,,,,,,,,
Educational Attainment of Householder,,,,,,,,,,,,,,,,,,,,,,,,,,,
".Total, age 25 and older","125,300","79,000",708,"126,300","82,010",633,*3.8,1.06,,,,,,,,,,,,,,,,,,,
No high school diploma,"9,632","36,230","1,553","9,546","36,620","1,162",1.1,5.29,,,,,,,,,,,,,,,,,,,
"High school, no college","31,830","53,510",801,"31,810","55,810",988,*4.3,2.15,,,,,,,,,,,,,,,,,,,
Some college,"33,650","71,420","1,389","33,830","73,610","1,540",*3.1,2.69,,,,,,,,,,,,,,,,,,,
Bachelor's degree or higher,"50,180","123,000","1,900","51,150","126,800","1,462",*3.1,1.84,,,,,,,,,,,,,,,,,,,
*An asterisk preceding an estimate indicates change is statistically different from zero at the 90 percent confidence level.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 A margin of error (MOE) is a measure of an estimate's variability. The larger the MOE in relation to the size of the estimate, the less reliable the estimate. This number, when added to and subtracted from the estimate, forms the 90 percent confidence interval. MOEs shown in this table are based on standard errors calculated using replicate weights.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Calculated estimate may be different due to rounded components.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 Federal surveys give respondents the option of reporting more than one race. Therefore, two basic ways of defining a race group are possible. A group such as Asian may be defined as those who reported Asian and no other race (the race-alone or single-race concept) or as those who reported Asian regardless of whether they also reported another race (the race-alone-or-in-combination concept). This table shows data using the first approach (race alone). The use of the single-race population does not imply that it is the preferred method of presenting or analyzing data. The Census Bureau uses a variety of approaches. Data for American Indians and Alaska Natives, Native Hawaiians and Other Pacific Islanders, and those reporting Two or More Races are not shown separately.",,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Information on metropolitan statistical areas and principal cities is available at <www.census.gov/programs-surveys/metro-micro/about/glossary.html>.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2023 and 2024 Annual Social and Economic Supplements (CPS ASEC).",,,,,,,,,,,,,,,,,,,,,,,,,,,
